ZONA;Coletivo; Individual;Modo Motorizado;Modo Não-  Motorizado;Total
1; 545.489 ; 153.629 ; 699.118 ; 121.651 ; 820.769 
2; 38.982 ; 15.550 ; 54.532 ; 10.817 ; 65.349 
3; 11.725 ; 3.117 ; 14.842 ; 13.048 ; 27.889 
4; 12.438 ; 6.163 ; 18.601 ; 11.185 ; 29.786 
5; 56.261 ; 23.216 ; 79.477 ; 33.932 ; 113.409 
6; 53.637 ; 41.823 ; 95.460 ; 37.264 ; 132.724 
7; 37.067 ; 26.868 ; 63.935 ; 14.409 ; 78.344 
8; 23.829 ; 11.847 ; 35.676 ; 14.752 ; 50.428 
9; 30.319 ; 18.651 ; 48.969 ; 28.580 ; 77.549 
10; 52.124 ; 27.878 ; 80.003 ; 29.244 ; 109.247 
11; 39.430 ; 18.107 ; 57.537 ; 11.484 ; 69.021 
12; 39.047 ; 38.415 ; 77.462 ; 23.343 ; 100.804 
13; 81.354 ; 34.848 ; 116.202 ; 28.173 ; 144.374 
14; 79.267 ; 44.982 ; 124.249 ; 45.021 ; 169.269 
15; 54.626 ; 44.756 ; 99.381 ; 29.483 ; 128.864 
16; 55.447 ; 46.195 ; 101.642 ; 28.224 ; 129.867 
17; 47.201 ; 51.011 ; 98.212 ; 25.784 ; 123.996 
18; 100.019 ; 120.915 ; 220.934 ; 49.980 ; 270.914 
19; 151.795 ; 115.289 ; 267.084 ; 49.621 ; 316.705 
20; 49.664 ; 88.007 ; 137.671 ; 34.322 ; 171.993 
21; 31.181 ; 57.303 ; 88.484 ; 20.906 ; 109.390 
22; 25.726 ; 31.850 ; 57.576 ; 29.644 ; 87.220 
23; 23.355 ; 16.853 ; 40.208 ; 15.537 ; 55.745 
24; 101.210 ; 143.345 ; 244.555 ; 94.634 ; 339.190 
25; 48.349 ; 22.272 ; 70.621 ; 9.333 ; 79.955 
26; 27.887 ; 46.102 ; 73.989 ; 39.365 ; 113.354 
27; 69.201 ; 55.776 ; 124.977 ; 37.047 ; 162.024 
28; 84.159 ; 99.725 ; 183.884 ; 68.363 ; 252.246 
29; 24.327 ; 31.080 ; 55.407 ; 39.578 ; 94.985 
30; 66.864 ; 35.549 ; 102.413 ; 16.765 ; 119.178 
31; 45.574 ; 49.092 ; 94.666 ; 27.877 ; 122.543 
32; 59.656 ; 90.751 ; 150.407 ; 60.528 ; 210.935 
33; 101.634 ; 113.053 ; 214.687 ; 77.619 ; 292.305 
34; 177.855 ; 212.207 ; 390.062 ; 152.504 ; 542.567 
35; 102.392 ; 179.930 ; 282.321 ; 54.066 ; 336.388 
36; 51.393 ; 90.543 ; 141.936 ; 34.888 ; 176.824 
37; 19.762 ; 48.686 ; 68.448 ; 10.771 ; 79.219 
38; 54.902 ; 57.770 ; 112.673 ; 22.585 ; 135.258 
39; 21.829 ; 52.654 ; 74.483 ; 24.077 ; 98.560 
40; 16.938 ; 31.807 ; 48.745 ; 12.701 ; 61.445 
41; 90.271 ; 50.986 ; 141.257 ; 25.247 ; 166.503 
42; 37.822 ; 22.294 ; 60.116 ; 8.399 ; 68.515 
43; 53.052 ; 46.706 ; 99.759 ; 57.958 ; 157.717 
44; 42.157 ; 59.491 ; 101.649 ; 36.109 ; 137.758 
45; 100.611 ; 108.946 ; 209.557 ; 141.709 ; 351.266 
46; 64.719 ; 85.997 ; 150.716 ; 49.296 ; 200.013 
47; 73.119 ; 88.898 ; 162.017 ; 112.288 ; 274.306 
48; 82.311 ; 75.988 ; 158.299 ; 145.921 ; 304.220 
49; 28.850 ; 37.140 ; 65.989 ; 52.340 ; 118.329 
50; 22.719 ; 18.267 ; 40.986 ; 35.058 ; 76.044 
51; 74.532 ; 56.657 ; 131.190 ; 33.836 ; 165.025 
52; 59.472 ; 68.498 ; 127.969 ; 61.090 ; 189.059 
53; 23.128 ; 30.991 ; 54.119 ; 28.096 ; 82.215 
54; 48.748 ; 58.438 ; 107.186 ; 85.040 ; 192.226 
55; 116.818 ; 90.197 ; 207.015 ; 156.169 ; 363.183 
56; 76.936 ; 60.176 ; 137.112 ; 61.083 ; 198.195 
57; 106.852 ; 36.697 ; 143.549 ; 127.297 ; 270.847 
