ZONA;Ônibus;Trólebus;Fretado;Escolar;Automóvel;Táxi;Lotação;Metrô;Trem;Moto;Bicicleta;A pé;Caminhão;Outros;Total
1;238958.00;17182.00;3245.00;1071.00;139085.00;8030.00;1243.00;259701.00;26540.00;4341.00;118.00;119354.00;2097.00;3353.00;824318.00
2;14833.00;2123.00;601.00;492.00;14536.00;383.00; -   ;11133.00;10684.00;266.00; -   ;9645.00;298.00;337.00;65331.00
3;5942.00; -   ;164.00; -   ;2888.00;139.00; -   ;4567.00; -   ; -   ; -   ;13720.00;77.00;212.00;27709.00
4;7477.00;416.00; -   ; -   ;7465.00;233.00; -   ;1669.00;1383.00;79.00; -   ;11293.00; -   ; -   ;30015.00
5;19894.00;1149.00;746.00;230.00;23544.00;125.00; -   ;33404.00;340.00;196.00; -   ;33395.00; -   ; -   ;113023.00
6;36883.00;1248.00;749.00;268.00;37178.00;1831.00;258.00;13857.00;504.00;766.00; -   ;38692.00;571.00;84.00;132889.00
7;20981.00;624.00;311.00;121.00;24063.00;2245.00; -   ;11800.00;1594.00;471.00; -   ;14969.00;730.00; -   ;77911.00
8;13565.00; -   ;123.00; -   ;12446.00;125.00; -   ;9087.00;822.00;203.00; -   ;14355.00;126.00; -   ;50853.00
9;17519.00;337.00; -   ;1372.00;18242.00;1346.00; -   ;4929.00;5202.00;356.00; -   ;27813.00;114.00;339.00;77571.00
10;20520.00;610.00;69.00;1829.00;25108.00;683.00; -   ;12451.00;16451.00;395.00;43.00;29413.00;498.00;188.00;108257.00
11;10146.00; -   ;397.00;380.00;16100.00; -   ; -   ;23774.00;4588.00;237.00;74.00;12781.00;622.00;327.00;69425.00
12;21732.00;591.00;897.00;881.00;39859.00;80.00;230.00;5977.00;6656.00;246.00;31.00;22701.00;533.00;301.00;100714.00
13;37060.00;1809.00;210.00;699.00;34191.00;477.00; -   ;12712.00;26203.00;329.00; -   ;30024.00;126.00; -   ;143841.00
14;41311.00;6790.00;822.00;1020.00;42670.00;642.00;230.00;15066.00;14874.00;129.00; -   ;44791.00;1370.00; -   ;169715.00
15;40546.00;3018.00;465.00;2267.00;42712.00;873.00; -   ;5052.00;3993.00;658.00; -   ;28678.00;75.00; -   ;128337.00
16;23013.00;1359.00;254.00;691.00;44576.00;1007.00; -   ;28397.00;712.00;601.00; -   ;30191.00;67.00;126.00;130994.00
17;23128.00;2483.00; -   ;1655.00;49056.00;1097.00; -   ;19126.00;273.00;425.00; -   ;26384.00;706.00;126.00;124460.00
18;48368.00; -   ;694.00;1457.00;119470.00;1843.00; -   ;45723.00;189.00;2733.00; -   ;49189.00;891.00;761.00;271317.00
19;101576.00;4625.00;1612.00;1311.00;112384.00;2841.00;150.00;38088.00;5802.00;3072.00; -   ;46607.00;156.00;480.00;318706.00
20;38080.00;966.00;689.00;2549.00;82686.00;3076.00;242.00;5662.00;888.00;866.00; -   ;35352.00; -   ; -   ;171054.00
21;26569.00;811.00;231.00;494.00;53029.00;1718.00; -   ;4402.00;825.00;836.00; -   ;21160.00;111.00; -   ;110186.00
22;14409.00; -   ;264.00;1239.00;30382.00;205.00;126.00;7652.00;1674.00;322.00; -   ;29698.00;247.00; -   ;86216.00
23;14383.00; -   ;321.00;70.00;15981.00;669.00; -   ;3142.00;4902.00;441.00; -   ;16040.00;67.00;218.00;56232.00
24;77426.00;1409.00;1867.00;4025.00;137542.00;3189.00;54.00;5591.00;9022.00;2059.00;69.00;95946.00;507.00;76.00;338781.00
25;32966.00;174.00;2680.00;1154.00;20490.00;273.00; -   ;1973.00;10777.00;737.00; -   ;9425.00;433.00; -   ;81082.00
26;20842.00;941.00;661.00;2257.00;43235.00;880.00; -   ;2661.00;692.00;1911.00;91.00;38917.00;509.00; -   ;113598.00
27;44766.00;1436.00;696.00;3145.00;51290.00;1717.00;994.00;19917.00;190.00;1285.00; -   ;36398.00;248.00;530.00;162612.00
28;44749.00;187.00;2040.00;2498.00;96594.00;728.00; -   ;32893.00;3118.00;1557.00; -   ;69023.00;1128.00;234.00;254749.00
29;21558.00; -   ;761.00;836.00;27918.00;617.00; -   ;1761.00;692.00;317.00;101.00;40229.00;883.00; -   ;95673.00
30;37315.00;1336.00;4969.00;2028.00;34929.00;1198.00; -   ;17095.00;4430.00;449.00; -   ;15732.00;421.00; -   ;119900.00
31;24492.00;2905.00;900.00;1947.00;46660.00;280.00; -   ;10873.00;3160.00;1049.00; -   ;28420.00;292.00;263.00;121241.00
32;38197.00;7629.00;2352.00;2784.00;87360.00;1246.00; -   ;4269.00;5290.00;1264.00;236.00;59166.00;389.00;434.00;210616.00
33;75205.00;3129.00;1809.00;4163.00;109160.00;913.00;77.00;8797.00;8742.00;1594.00;618.00;75684.00;1867.00;505.00;292263.00
34;98447.00;166.00;1902.00;3382.00;199810.00;1681.00; -   ;76236.00;659.00;4058.00;148.00;153404.00;1772.00;3198.00;544862.00
35;80894.00;476.00;1210.00;1723.00;171798.00;4574.00; -   ;14012.00;1680.00;2725.00;856.00;52446.00;932.00;1338.00;334664.00
36;43975.00;1232.00;1452.00;1240.00;85034.00;1628.00; -   ;5269.00;1257.00;1064.00;284.00;34681.00; -   ;521.00;177636.00
37;14545.00;1631.00;572.00;948.00;42893.00;1893.00; -   ;2711.00;965.00;1377.00; -   ;10299.00;96.00;248.00;78177.00
38;50079.00; -   ;417.00;1401.00;53613.00;698.00; -   ;3869.00;1734.00;1629.00;13.00;20553.00;114.00;191.00;134312.00
39;19415.00; -   ;589.00;1096.00;49903.00;768.00; -   ;1196.00;54.00;424.00;98.00;24529.00; -   ; -   ;98072.00
40;12358.00; -   ;457.00;1884.00;30093.00; -   ; -   ;197.00;2201.00;544.00; -   ;13752.00;544.00; -   ;62030.00
41;67428.00; -   ;724.00;1344.00;49985.00;1945.00; -   ;4848.00;15461.00;845.00; -   ;23069.00;665.00;80.00;166394.00
