 ZONA ; Coletivo ; Individual ; Motorizado ; Não-Motorizado ; Total 
1; 547.939 ; 156.906 ; 704.845 ; 119.472 ; 824.318 
2; 39.866 ; 15.819 ; 55.685 ; 9.645 ; 65.331 
3; 10.673 ; 3.316 ; 13.989 ; 13.720 ; 27.709 
4; 10.945 ; 7.776 ; 18.721 ; 11.293 ; 30.015 
5; 55.764 ; 23.865 ; 79.629 ; 33.395 ; 113.023 
6; 53.768 ; 40.430 ; 94.197 ; 38.692 ; 132.889 
7; 35.432 ; 27.510 ; 62.941 ; 14.969 ; 77.911 
8; 23.597 ; 12.900 ; 36.498 ; 14.355 ; 50.853 
9; 29.361 ; 20.397 ; 49.758 ; 27.813 ; 77.571 
10; 51.930 ; 26.871 ; 78.801 ; 29.456 ; 108.257 
11; 39.284 ; 17.286 ; 56.570 ; 12.855 ; 69.425 
12; 36.963 ; 41.019 ; 77.981 ; 22.732 ; 100.714 
13; 78.693 ; 35.123 ; 113.817 ; 30.024 ; 143.841 
14; 80.112 ; 44.812 ; 124.924 ; 44.791 ; 169.715 
15; 55.341 ; 44.318 ; 99.659 ; 28.678 ; 128.337 
16; 54.426 ; 46.377 ; 100.803 ; 30.191 ; 130.994 
17; 46.665 ; 51.410 ; 98.075 ; 26.384 ; 124.460 
18; 96.430 ; 125.698 ; 222.129 ; 49.189 ; 271.317 
19; 153.164 ; 118.935 ; 272.099 ; 46.607 ; 318.706 
20; 49.075 ; 86.627 ; 135.702 ; 35.352 ; 171.054 
21; 33.332 ; 55.694 ; 89.026 ; 21.160 ; 110.186 
22; 25.363 ; 31.155 ; 56.519 ; 29.698 ; 86.216 
23; 22.817 ; 17.375 ; 40.193 ; 16.040 ; 56.232 
24; 99.393 ; 143.374 ; 242.766 ; 96.015 ; 338.781 
25; 49.725 ; 21.932 ; 71.657 ; 9.425 ; 81.082 
26; 28.054 ; 46.536 ; 74.590 ; 39.008 ; 113.598 
27; 71.144 ; 55.069 ; 126.213 ; 36.398 ; 162.612 
28; 85.485 ; 100.241 ; 185.726 ; 69.023 ; 254.749 
29; 25.607 ; 29.735 ; 55.343 ; 40.330 ; 95.673 
30; 67.173 ; 36.996 ; 104.169 ; 15.732 ; 119.900 
31; 44.276 ; 48.544 ; 92.821 ; 28.420 ; 121.241 
32; 60.522 ; 90.693 ; 151.214 ; 59.402 ; 210.616 
33; 101.922 ; 114.039 ; 215.962 ; 76.302 ; 292.263 
34; 180.792 ; 210.519 ; 391.310 ; 153.552 ; 544.862 
35; 99.995 ; 181.367 ; 281.362 ; 53.302 ; 334.664 
36; 54.426 ; 88.246 ; 142.672 ; 34.964 ; 177.636 
37; 21.371 ; 46.507 ; 67.878 ; 10.299 ; 78.177 
38; 57.500 ; 56.246 ; 113.745 ; 20.566 ; 134.312 
39; 22.350 ; 51.095 ; 73.445 ; 24.627 ; 98.072 
40; 17.098 ; 31.181 ; 48.278 ; 13.752 ; 62.030 
41; 89.805 ; 53.520 ; 143.325 ; 23.069 ; 166.394 
42; 38.090 ; 21.929 ; 60.019 ; 8.672 ; 68.691 
43; 54.081 ; 45.545 ; 99.626 ; 57.580 ; 157.206 
44; 43.793 ; 58.320 ; 102.112 ; 36.100 ; 138.212 
45; 98.015 ; 110.357 ; 208.372 ; 141.654 ; 350.026 
46; 66.400 ; 83.536 ; 149.935 ; 49.526 ; 199.461 
47; 72.598 ; 85.599 ; 158.197 ; 113.099 ; 271.296 
48; 81.602 ; 75.486 ; 157.088 ; 145.266 ; 302.353 
49; 27.934 ; 38.600 ; 66.534 ; 51.997 ; 118.532 
50; 22.722 ; 17.838 ; 40.560 ; 35.133 ; 75.693 
51; 75.296 ; 56.355 ; 131.651 ; 34.246 ; 165.897 
52; 60.011 ; 67.959 ; 127.971 ; 61.409 ; 189.380 
53; 21.745 ; 31.425 ; 53.170 ; 28.305 ; 81.474 
54; 49.604 ; 58.012 ; 107.616 ; 86.363 ; 193.979 
55; 116.552 ; 91.425 ; 207.977 ; 155.364 ; 363.340 
56; 77.929 ; 59.885 ; 137.813 ; 60.368 ; 198.181 
57; 105.764 ; 38.228 ; 143.992 ; 128.274 ; 272.266 
58; 74.179 ; 94.516 ; 168.695 ; 95.840 ; 264.535 
59; 85.310 ; 162.506 ; 247.815 ; 36.768 ; 284.583 
60; 23.651 ; 35.252 ; 58.902 ; 18.236 ; 77.139 
61; 22.116 ; 29.404 ; 51.520 ; 10.390 ; 61.910 
62; 26.415 ; 50.753 ; 77.168 ; 10.228 ; 87.396 
63; 69.307 ; 90.598 ; 159.906 ; 33.734 ; 193.640 
64; 19.013 ; 42.049 ; 61.062 ; 7.339 ; 68.402 
65; 25.082 ; 34.011 ; 59.092 ; 7.126 ; 66.218 
66; 15.279 ; 8.078 ; 23.357 ; 4.751 ; 28.108 
67; 40.921 ; 33.076 ; 73.998 ; 14.573 ; 88.570 
68; 75.581 ; 65.006 ; 140.588 ; 81.741 ; 222.329 
69; 51.114 ; 31.976 ; 83.091 ; 51.595 ; 134.686 
70; 40.563 ; 11.849 ; 52.412 ; 49.168 ; 101.580 
71; 79.160 ; 46.422 ; 125.582 ; 85.526 ; 211.108 
72; 35.146 ; 26.634 ; 61.780 ; 43.716 ; 105.496 
73; 14.415 ; 8.363 ; 22.777 ; 29.536 ; 52.313 
74; 31.904 ; 10.660 ; 42.564 ; 34.640 ; 77.204 
75; 39.166 ; 48.830 ; 87.997 ; 42.618 ; 130.614 
76; 35.808 ; 35.216 ; 71.024 ; 48.253 ; 119.277 
77; 35.908 ; 36.265 ; 72.173 ; 40.892 ; 113.065 
78; 52.178 ; 35.882 ; 88.060 ; 37.933 ; 125.992 
79; 37.246 ; 42.502 ; 79.748 ; 43.401 ; 123.149 
80; 56.044 ; 51.370 ; 107.414 ; 66.796 ; 174.210 
81; 46.754 ; 42.713 ; 89.467 ; 65.741 ; 155.208 
82; 62.585 ; 55.223 ; 117.808 ; 91.817 ; 209.625 
83; 114.713 ; 109.651 ; 224.364 ; 151.996 ; 376.361 
84; 54.392 ; 22.432 ; 76.825 ; 89.874 ; 166.699 
85; 85.730 ; 68.926 ; 154.656 ; 129.608 ; 284.265 
86; 55.494 ; 24.920 ; 80.414 ; 94.040 ; 174.454 
87; 23.781 ; 14.547 ; 38.328 ; 40.882 ; 79.211 
88; 42.050 ; 23.696 ; 65.746 ; 68.715 ; 134.462 
89; 77.140 ; 30.043 ; 107.183 ; 157.752 ; 264.935 
90; 74.282 ; 25.280 ; 99.563 ; 97.306 ; 196.869 
91; 57.785 ; 22.039 ; 79.824 ; 87.474 ; 167.298 
92; 57.806 ; 27.215 ; 85.021 ; 62.518 ; 147.538 
93; 42.185 ; 16.909 ; 59.094 ; 43.183 ; 102.277 
94; 82.907 ; 36.099 ; 119.006 ; 129.640 ; 248.646 
95; 44.075 ; 10.043 ; 54.118 ; 66.602 ; 120.720 
96; 53.676 ; 19.887 ; 73.563 ; 80.377 ; 153.940 
97; 58.448 ; 13.488 ; 71.936 ; 90.376 ; 162.313 
98; 65.471 ; 9.964 ; 75.435 ; 90.543 ; 165.978 
99; 89.443 ; 14.439 ; 103.882 ; 86.986 ; 190.868 
100; 38.963 ; 7.470 ; 46.433 ; 67.644 ; 114.077 
101; 15.970 ; 6.311 ; 22.281 ; 17.208 ; 39.489 
102; 45.403 ; 25.764 ; 71.167 ; 69.535 ; 140.702 
103; 32.839 ; 43.479 ; 76.317 ; 38.755 ; 115.072 
104; 79.330 ; 83.254 ; 162.584 ; 40.452 ; 203.036 
105; 80.591 ; 126.068 ; 206.658 ; 32.424 ; 239.082 
106; 102.171 ; 48.673 ; 150.844 ; 22.690 ; 173.534 
107; 1.440 ; 11.448 ; 12.888 ; 1.509 ; 14.397 
