ZONA;Ônibus;Fretado;Escolar;Automóvel;Táxi;Metrô;Trem;Moto;Bicicleta;A pé;Outros;Total
 1 ;42802;674;17;25879;1067;75849;1405;568;220;29011;30;177522
 2 ;31084;49;0;19298;1114;35761;4331;248;0;20377;708;112970
 3 ;13044;0;0;9878;250;17073;317;62;0;20704;68;61396
 4 ;22867;203;408;16263;866;18268;260;31;0;27901;0;87067
 5 ;38975;1076;32;23470;1350;57056;4087;743;0;39213;0;166001
 6 ;26262;294;0;23577;524;27499;5999;504;314;26732;105;111809
 7 ;13951;486;0;17253;25;16225;14737;0;0;19790;0;82467
 8 ;12889;479;255;17896;0;15268;11984;200;145;23871;0;82988
 9 ;14207;0;341;17269;126;4446;5245;764;16;8990;0;51404
 10 ;9886;0;623;15139;0;3351;553;0;0;6498;0;36050
 11 ;8194;114;63;9988;125;6340;295;878;110;13890;0;39998
 12 ;6434;0;1854;28904;395;7553;774;0;0;14040;163;60117
 13 ;10318;0;298;24005;944;37558;276;94;0;16835;47;90376
 14 ;19680;0;144;16319;1503;12875;996;1456;0;30961;291;84224
 15 ;15719;869;73;27447;1337;25527;27;18;0;13040;0;84058
 16 ;28025;961;290;40402;1970;40420;1695;989;0;19889;163;134803
 17 ;49586;1811;414;70940;4044;35290;6002;508;0;56791;83;225469
 18 ;20010;0;0;20601;441;22722;1792;181;261;34637;0;100645
 19 ;21705;0;70;21608;25;10721;1920;0;391;15388;265;72093
 20 ;3802;223;221;5737;94;2901;18;131;0;5160;127;18415
 21 ;12070;1078;22;26356;116;3551;3915;312;421;22746;0;70588
 22 ;20663;0;0;23373;578;9167;10901;46;216;13055;87;78085
 23 ;10793;1419;233;10294;0;2794;368;72;249;5912;256;32389
 24 ;25254;983;2098;31108;155;15461;1213;880;27;27386;27;104592
 25 ;14157;483;114;32276;55;11410;1979;300;0;18319;47;79140
 26 ;11885;31;0;23285;805;2058;1391;606;0;13044;0;53105
 27 ;24220;1466;893;48224;1387;6165;10415;468;0;18083;959;112280
 28 ;7325;318;139;10583;204;1266;1167;687;128;4289;51;26158
 29 ;14682;96;229;31390;123;1586;396;134;613;9024;410;58683
 30 ;11279;500;1034;45246;738;23272;1740;2415;0;16240;0;102463
 31 ;17917;694;1379;43734;1424;34226;507;891;0;21650;427;122850
 32 ;10843;0;749;22477;699;14623;0;1038;0;17744;0;68173
 33 ;16511;0;284;34453;1045;11145;240;875;118;11245;0;75916
 34 ;22391;944;1081;58047;1076;15147;1138;178;0;20983;91;121077
 35 ;28786;177;794;33732;2585;18083;1417;812;43;12099;131;98657
 36 ;13033;0;342;32259;1134;4781;952;0;82;5380;101;58065
 37 ;17050;0;455;52727;873;7355;1390;1108;0;16780;0;97739
 38 ;20372;717;0;32081;1330;18972;1184;162;0;26205;219;101243
 39 ;20167;335;331;35217;239;9387;4538;1319;0;10753;184;82471
 40 ;8675;0;96;7571;17;2025;2179;34;202;2630;0;23430
 41 ;9903;1252;63;14776;362;5747;2926;25;39;2938;14;38046
 42 ;21444;0;2136;32000;0;1359;860;0;663;33973;0;92433
 43 ;2090;12;78;6952;0;2223;554;346;0;371;0;12628
 44 ;29355;0;95;27049;3198;14373;216;783;352;11330;192;86942
 45 ;8691;0;82;12780;287;6762;0;391;622;9239;0;38854
 46 ;20139;742;25;28703;261;4796;264;406;225;11806;0;67367
 47 ;19943;1291;193;41359;184;6839;247;2613; ;26475;773;99918
 48 ;18875;806;39;22102;78;2082;942;213;597;34831;1189;81755
 49 ;17123;859;757;30743;692;3859;1505;281;682;29165;1111;86778
 50 ;15581;3115;97;20745;671;5971;2081;89;1290;32518;196;82352
 51 ;33759;930;2516;41021;397;16325;2852;405;293;16672;0;115169
 52 ;24637;1957;1150;65343;803;16869;4247;0;0;27020;1099;143126
 53 ;21906;0;1779;60727;555;4279;2894;1183;0;23635;31;116989
 54 ;9574;0;1576;33156;90;1688;31;661;0;15070;90;61937
 55 ;15188;511;644;51489;36;2683;70;187;22;18716;68;89614
 56 ;12114;79;498;25112;263;769;419;0;309;21947;101;61611
 57 ;3250;82;167;2021;447;62;1591;0;249;4519;0;12388
 58 ;14294;97;261;19325;0;1279;2347;615;335;12729;20;51302
 59 ;24432;218;756;51124;153;2142;452;192;1338;27879;90;108775
