ZONA;Metrô;Trem;Ônibus;Fretado;Escolar;Automóvel;Táxi;Moto;Bicicleta;A pé;Outros
 1 ;67841,89;1453,81;29973,82;22,13;180,34;13088,91;2313,90;1676,82;145,91;43708,89;96,50
 2 ;47884,02;8444,90;25897,45;0,00;39,77;21473,62;1236,43;4315,11;737,32;26794,02;409,10
 3 ;20982,02;0,00;7842,44;0,00;243,80;7415,68;1280,83;664,30;331,13;23764,57;446,22
 4 ;19799,64;0,00;13020,64;0,00;289,36;12807,12;3179,57;321,59;1083,62;27227,20;455,22
 5 ;78710,96;880,41;27443,88;0,00;245,59;17645,89;3993,50;3116,53;1379,11;51896,36;907,39
 6 ;24960,65;14759,37;16074,43;0,00;332,10;12609,01;1889,50;3229,50;1564,65;34209,61;162,35
 7 ;19557,71;12330,78;8075,24;1658,04;613,79;13160,23;925,96;4506,20;1705,77;30627,28;0,00
 8 ;2097,00;2705,63;6083,64;801,33;288,89;6404,08;635,76;843,17;566,38;19796,83;0,00
 9 ;12041,59;1103,09;7153,05;0,00;190,94;6225,64;187,20;710,81;512,66;8006,43;137,39
 10 ;5706,30;0,00;8006,48;329,86;1753,96;3341,28;29,00;199,89;335,73;4187,45;0,00
 11 ;340,49;13,73;2971,38;0,00;558,34;4638,97;18,98;1085,56;82,57;1693,03;0,00
 12 ;4013,87;6031,58;7913,19;67,77;746,99;7716,18;472,00;1289,71;1293,16;15514,84;1076,54
 13 ;1969,82;6276,14;3933,01;240,84;34,07;7866,86;651,69;0,00;38,30;4120,04;0,00
 14 ;5992,04;13683,67;15005,94;1543,65;147,86;12897,54;1193,23;456,59;82,49;15492,62;0,00
 15 ;8933,37;5499,27;6336,75;0,00;858,34;5234,92;0,00;479,67;253,09;8571,36;0,00
 16 ;14052,02;5118,35;5599,39;0,00;722,08;7177,16;390,84;147,02;1045,70;14023,27;370,74
 17 ;6415,74;2532,75;5881,92;24,20;102,85;4450,80;546,46;721,36;295,20;10653,30;0,00
 18 ;7747,03;4368,46;16376,53;318,85;523,70;22146,76;1663,18;178,32;544,99;19706,91;932,28
 19 ;4250,94;328,91;11575,94;155,97;1402,14;24972,28;1403,30;2129,75;226,24;11234,87;0,00
 20 ;4639,53;576,00;11132,30;0,00;888,37;12934,26;1059,75;1473,88;211,56;14167,16;0,00
 21 ;5045,55;0,00;7800,98;0,00;471,05;16881,79;2871,29;1494,77;159,93;9599,25;106,30
 22 ;11279,32;0,00;3588,94;0,00;187,47;8349,52;169,66;1153,38;200,43;11814,50;299,95
 23 ;38573,48;0,00;6966,36;155,32;147,71;12880,95;1052,24;2131,10;234,16;11874,78;0,00
 24 ;46826,68;0,00;9401,39;0,00;655,58;10768,75;835,68;2438,67;338,62;18432,49;0,00
 25 ;5430,03;0,00;8739,55;13,62;0,00;5366,60;1642,18;1007,69;570,30;17860,21;0,00
 26 ;11992,68;0,00;7134,55;0,00;1156,09;16198,85;657,97;90,01;268,68;17008,71;0,00
 27 ;37992,62;821,40;17412,06;0,00;685,03;25563,54;3863,93;1102,40;598,96;29757,46;0,00
