Zona ;Nome;Domicílios;Famílias;População;Matrículas Escolares;Empregos;Automóveis;Produzidas;Atraídas
1;Sé;3006,36;4427,47;8830,39;12895,33;156132,59;967,72;432470,91;432295,44
2;Brás;2184,13;2458,61;7682,65;1481,81;9016,67;1077,42;30333,62;30816,80
3;Brás;2508,35;2440,11;7815,98;6951,21;20658,77;956,06;58662,73;57603,53
4;Mooca;3612,98;3872,69;13454,72;5625,28;27543,52;2068,41;69403,65;68149,19
5;Liberdade;3512,41;4994,79;15145,08;1274,63;8385,76;1853,78;40169,76;40304,58
6;Liberdade;4860,16;4767,20;15067,30;2306,94;6137,04;1661,31;33846,68;35685,87
7;Liberdade;1557,38;1633,41;4460,99;7005,29;18162,83;756,44;70662,99;69018,16
8;Bela Vista;19949,18;16272,31;43123,06;4363,91;31943,69;8067,28;127028,45;125282,30
9;Consolação;2930,69;2912,89;6367,58;2309,93;74820,07;951,04;253472,80;250761,60
10;Santa Efigênia;7408,83;8806,98;20506,35;2856,61;69080,90;3702,82;190787,73;189947,28
11;Brás;1307,89;1255,75;4624,21;2982,04;14788,69;625,34;40362,51;40488,42
12;Brás;3611,32;3746,70;12934,91;4020,09;24486,32;1762,27;64324,92;64053,30
13;Brás;2961,79;5714,05;13226,07;2463,66;20102,10;1431,96;48635,89;48976,17
14;Mooca;5379,96;5275,93;21675,33;18485,58;30048,36;3951,61;105809,05;107468,45
15;Alto da Mooca;11252,40;10792,79;40122,08;5546,72;29404,57;10452,05;108812,64;111760,70
16;Cambuci;6626,01;6206,73;25125,67;4930,28;20397,51;5084,22;86791,34;86559,53
17;Aclimação;8335,83;7428,44;23664,20;2226,86;10472,98;4888,20;56120,75;55671,00
18;Liberdade;4360,21;4345,34;14596,58;30895,25;10648,08;2394,21;81194,23;81421,90
19;Liberdade;2617,83;3291,14;8817,76;6735,91;5681,37;1487,93;33543,67;34427,46
20;Liberdade;1911,36;3225,24;7200,61;1225,52;5728,37;1194,38;21248,00;21432,62
21;Liberdade;2270,74;2361,81;7681,12;694,25;7901,59;2089,41;33811,83;32891,66
22;Bela Vista;10404,85;8855,37;32206,68;32357,53;36347,60;7167,24;186514,28;184545,78
23;Cerqueira Cesar;9461,85;10112,08;25374,71;6920,57;48579,49;4958,61;157978,71;158356,82
24;Consolação;17069,95;11357,36;24838,14;25893,41;66968,91;3534,74;227860,90;225888,94
25;Santa Cecília;10388,13;10491,84;26911,45;4907,20;12110,42;5665,34;66325,17;67279,53
26;Santa Cecília;9266,15;10132,86;27428,83;6580,96;33445,02;3630,50;131668,64;123040,96
27;Bom Retiro;2241,50;4241,51;9492,64;2312,24;28538,80;777,54;66756,66;66131,11
28;Santa Efigênia;2811,22;3207,40;9561,56;15706,89;20852,41;1320,12;73079,78;75219,50
29;Pari;4104,37;4845,92;18042,99;3924,36;20867,44;2389,16;64819,01;65041,90
30;Pari;3116,41;2941,41;11538,03;3612,38;14921,92;2231,31;37212,78;37037,63
31;Belenzinho;2679,12;2642,46;9460,29;1298,16;19642,88;1557,61;45611,93;45546,14
32;Belenzinho;5903,23;5794,14;15237,49;7112,49;21224,49;3785,17;66671,15;65218,19
33;Belenzinho;4206,42;3966,58;13276,35;2916,10;15228,11;2505,28;47571,47;47790,17
34;Alto da Mooca;11357,70;11269,84;41799,02;10520,32;19017,00;8460,38;87947,29;89890,72
35;Vila Prudente;13592,28;12851,69;49602,04;11269,62;11845,68;10186,85;92770,96;92886,25
36;Ipiranga;12403,23;11584,83;38167,21;11333,82;28759,40;7736,65;135842,42;136124,97
37;Cambuci;6239,99;5870,20;23661,16;3179,39;8532,28;5950,22;54255,23;54812,40
38;Aclimação;3127,89;2953,28;10126,78;1549,54;2758,05;2796,33;25008,70;25119,65
39;Aclimação;4428,26;3788,88;14225,53;2321,45;3237,80;3511,04;27692,66;28235,93
40;Vila Mariana;6617,45;6112,31;23226,84;5044,60;10636,30;6229,02;52679,68;53672,27
41;Vila Mariana;8887,62;10518,44;31325,69;3454,25;15838,47;7965,50;79466,32;78273,15
42;Jardim Paulista;14592,60;11786,47;45486,98;2768,30;30193,48;13631,71;136988,49;139945,38
43;Cerqueira Cesar;11057,33;9231,55;31243,54;9546,73;25102,94;11381,71;112145,89;112669,44
44;Consolação;11479,38;10194,39;35841,88;12819,01;25315,44;9633,28;117515,93;119148,91
