ZONA; Ônibus ; Fretado ; Escolar ; Automóvel ; Táxi ; Lotação ; Metrô ; Trem ; Moto ; Bicicleta ; A pé ; Outros ; Total 
 1 ;44568,51;1589,18;150,23;28343,99;1201,02;282,75;75819,34;1823,14;568,06;220,00;26442,77;29,81;181038,80
 2 ;27612,99;49,21;0,00;19675,74;1003,49;414,93;35119,51;4833,27;247,56;0,00;25576,12;0,00;114532,81
 3 ;15640,13;0,00;0,00;9984,14;301,16;90,51;17813,21;529,94;61,86;0,00;17056,53;68,38;61545,84
 4 ;18700,43;535,74;221,01;16552,88;361,61;572,12;20665,12;464,88;30,75;0,00;30264,25;0,00;88368,80
 5 ;41161,47;917,68;70,22;24373,63;984,32;0,00;56435,96;3233,38;827,92;0,00;38007,47;205,11;166217,15
 6 ;31847,87;111,44;0,00;21320,60;425,63;71,83;27480,55;6182,64;608,82;313,82;25460,00;0,00;113823,21
 7 ;13291,21;553,10;0,00;19178,06;134,54;14,64;15487,23;13996,51;0,00;0,00;19299,55;0,00;81954,84
 8 ;13848,66;539,73;751,91;17265,66;0,00;295,88;16362,38;12454,99;199,78;144,90;23065,43;0,00;84929,32
 9 ;14903,82;165,35;340,56;17575,80;63,22;0,00;3454,56;5176,50;674,51;15,55;10384,61;0,00;52754,48
 10 ;9760,09;173,92;623,16;15073,14;63,22;0,00;3514,02;630,96;0,00;0,00;6588,25;0,00;36426,75
 11 ;8838,62;63,47;63,47;13277,46;285,71;25,19;2603,07;295,18;877,94;110,14;14138,87;0,00;40579,11
 12 ;5041,32;0,00;1854,16;26663,67;483,62;61,19;11675,63;483,36;0,00;0,00;14107,44;0,00;60370,39
 13 ;11241,06;188,14;113,03;24199,65;882,84;170,42;41132,84;131,48;93,78;0,00;13961,84;210,20;92325,29
 14 ;19610,96;48,03;192,13;16768,98;1401,52;290,62;13707,61;956,18;1456,02;0,00;30774,75;0,00;85206,79
 15 ;14182,44;1029,31;257,93;26876,83;1339,68;0,00;26287,00;27,01;18,15;0,00;14413,86;0,00;84432,21
 16 ;30031,21;1413,15;290,24;41303,62;1828,16;0,00;40060,38;991,09;989,21;0,00;18846,46;0,00;135753,51
 17 ;51288,49;1992,87;414,32;75778,21;3243,89;0,00;34888,71;4007,09;391,85;0,00;56020,63;82,82;228108,89
 18 ;22010,38;535,92;0,00;17813,04;1306,39;0,00;22145,70;1561,10;474,66;260,76;35278,77;0,00;101386,70
