 ZONA ; Ônibus ; Transporte Fretado ; Transporte Escolar ; Dirigindo Automóvel ; Táxi ; Metrô ; Trem ; Moto ; Bicicleta ; A pé ; Outros ; Total 
1;34639,44;655,74;274,79;21512,78;1429,64;67625,50;2691,59;3990,10;374,44;27169,02;0,00;160363,03
2;37636,22;0,00;1249,92;24825,48;154,22;37392,45;4864,03;2243,00;195,90;12373,85;83,01;121018,08
3;9846,13;510,91;90,08;9664,07;327,41;16738,38;120,78;195,50;90,08;18435,76;0,00;56019,10
4;22649,13;935,92;66,50;18367,70;1118,49;16311,77;1243,10;606,17;322,15;25845,91;0,00;87466,83
5;45202,23;1081,94;227,40;23216,00;1174,36;60694,61;1626,13;2290,78;191,20;42140,33;54,94;177899,93
6;29978,25;247,48;52,80;18836,26;197,21;17148,42;10398,83;1029,48;363,67;17140,91;0,00;95393,29
7;18045,19;2166,47;654,73;19824,00;205,66;26569,68;13996,71;1478,93;931,18;22237,88;0,00;106110,43
8;7121,01;338,85;284,12;6952,49;50,72;2885,20;2092,37;1758,95;26,28;5936,02;0,00;27446,00
9;8085,55;669,52;92,75;7168,00;42,13;8606,04;683,04;205,14;156,89;6169,17;0,00;31878,22
10;3345,74;334,46;1301,62;5479,55;0,00;2219,87;546,36;910,98;79,63;3362,12;455,66;18035,98
11;1169,28;0,00;102,61;1804,56;24,43;723,11;36,65;888,61;81,20;1804,90;455,66;7091,00
12;12891,29;0,00;256,11;14444,30;43,15;4674,49;4130,88;1177,97;256,16;10917,12;0,00;48791,47
13;5916,09;7,28;9,09;3536,34;8,73;530,44;3638,16;861,96;0,00;3132,71;0,00;17640,80
14;17495,13;604,46;20,21;9646,40;0,00;10261,71;9362,61;118,27;19,77;8078,63;0,00;55607,19
15;4376,41;36,43;482,98;5273,77;71,01;5216,92;1058,67;259,53;35,51;6219,91;0,00;23031,15
16;8593,48;114,71;227,91;9068,75;0,00;7073,06;1942,26;574,90;155,78;8208,50;0,00;35959,35
17;6399,09;508,68;238,69;6094,34;92,45;3560,92;2086,04;88,75;212,13;2916,14;0,00;22197,21
18;16642,62;0,00;453,07;15492,84;141,77;5350,51;4289,24;819,35;492,69;12461,87;0,00;56143,97
19;8543,82;54,94;1013,25;17400,75;216,83;5602,40;0,00;252,97;80,83;8937,34;90,20;42193,31
20;9117,72;112,84;530,14;10768,15;982,85;5142,51;92,21;337,55;0,00;8907,50;0,00;35991,47
21;3918,67;0,00;162,25;17820,08;289,93;4290,39;0,00;664,14;58,60;7527,92;0,00;34731,99
22;4310,25;376,03;371,91;7990,52;198,62;9352,08;0,00;1403,29;57,96;5789,63;0,00;29850,30
23;6193,10;0,00;117,57;10526,67;107,26;21414,76;351,56;2325,18;33,54;4851,76;0,00;45921,40
24;11949,18;830,87;198,75;17052,69;650,81;33692,03;951,72;220,48;652,16;18901,65;0,00;85100,34
25;6117,94;117,03;0,00;6834,45;769,43;1545,03;574,69;149,15;263,53;12932,46;117,03;29420,74
26;14159,77;48,82;264,30;8551,07;217,98;6825,46;29,86;444,68;139,02;15790,58;0,00;46471,55
27;18571,98;675,88;734,83;35633,93;1440,93;32702,84;41,94;2694,28;117,63;21302,39;129,54;114046,15
28;8038,29;639,13;191,49;11511,11;223,24;12830,37;195,92;2029,05;62,51;8586,89;0,00;44307,98
29;12589,40;1277,53;71,52;16628,27;682,20;14993,43;486,87;548,37;101,15;13585,00;0,00;60963,75
30;12326,02;0,00;372,17;18911,94;754,07;7312,56;1315,22;845,73;482,30;14950,86;0,00;57270,87
31;29413,86;288,26;188,54;28574,61;1310,37;20955,13;574,01;528,36;249,54;26035,56;0,00;108118,23
32;14610,58;218,05;205,31;19255,30;797,14;22933,50;69,04;957,55;53,51;12821,59;0,00;71921,57
33;442,65;7,67;26,65;3885,74;65,49;542,03;3,88;103,75;4,15;1264,78;0,00;6346,79
34;3738,89;53,35;357,36;14206,13;236,12;3000,81;0,00;122,00;127,67;5791,70;16,69;27650,73
35;18953,45;0,00;351,17;17936,27;420,95;24487,49;3477,61;2074,77;64,67;28969,51;0,00;96735,88
36;18366,39;176,35;256,13;34630,57;1590,38;21443,51;2269,85;1489,89;230,43;25821,67;0,00;106275,18
37;9105,80;260,76;147,63;10527,40;281,72;4707,59;2311,00;384,11;22,77;3024,84;0,00;30773,63
38;3944,71;0,00;93,49;2638,17;0,00;1467,18;210,17;39,40;62,35;2256,87;0,00;10712,34
39;12833,56;576,68;521,31;6215,18;22,28;3173,43;0,00;1037,19;63,94;2902,68;2535,94;29882,19
40;6516,05;0,00;583,04;7322,53;330,67;5071,22;427,27;41,63;83,26;7058,22;0,00;27433,91
41;12998,70;302,31;1529,20;15707,71;519,69;9845,23;804,45;598,41;119,33;9047,27;0,00;51472,31
42;6542,23;0,00;120,57;5356,93;0,00;3229,77;757,45;0,00;115,29;5645,86;0,00;21768,11
43;18821,01;172,23;1564,58;25984,42;100,81;24348,10;2554,41;547,46;177,29;9134,53;100,81;83505,65
44;10024,59;58,21;536,38;17072,92;243,53;3615,90;946,66;725,87;292,82;9132,51;0,00;42649,39
45;26443,51;357,51;1214,02;44545,20;517,78;6496,05;2392,99;1468,67;272,85;25848,83;296,31;109853,73
46;15971,52;157,67;687,27;34099,61;0,00;2260,14;199,15;218,27;218,27;25732,50;0,00;79544,39
47;8394,44;117,59;859,53;15626,81;129,54;1649,05;0,00;133,91;133,91;13295,00;129,54;40469,32
48;17222,26;202,86;983,83;30858,97;0,00;4376,96;539,28;1880,66;411,29;13651,46;0,00;70127,56
