ZONA; Metrô ; Trem ; Ônibus ; Fretado ; Escolar ; Automóvel ; Táxi ; Moto ; Bicicleta ; A pé ; Outros ; Total 
 1 ;65510,58;1453,81;34277,33;385,65;234,92;13671,55;1071,33;1676,82;145,91;41669,93;59,65;160157,49
 2 ;45206,86;7142,20;29969,43;0,00;39,77;21843,62;1766,96;4315,11;737,32;26228,37;1056,76;138306,41
 3 ;20980,31;0,00;8402,37;0,00;243,80;7327,66;847,65;1032,48;331,13;23337,43;0,00;62502,84
 4 ;17751,05;264,02;15459,30;0,00;289,36;10925,52;4117,30;321,59;1083,62;27618,58;455,22;78285,56
 5 ;79320,28;1395,49;27348,43;0,00;245,59;18638,38;3689,79;2587,63;1379,11;51640,66;907,39;187152,74
 6 ;21374,66;14802,04;17432,73;0,00;332,10;11969,55;2301,57;3148,93;1564,65;36261,94;162,35;109350,52
 7 ;18299,77;12026,27;10269,69;1658,04;613,79;13176,92;777,91;4506,20;1705,77;30605,15;41,03;93680,54
 8 ;1845,84;3078,50;5840,33;801,33;288,89;5439,81;559,33;843,17;502,13;20970,68;0,00;40170,00
 9 ;12567,46;1135,55;6654,15;0,00;95,47;6262,42;142,94;710,81;512,66;8344,05;96,36;36521,88
 10 ;5758,37;0,00;7910,94;329,86;1849,43;3332,80;146,79;199,89;335,73;4166,64;0,00;24030,46
 11 ;318,46;13,73;2983,22;0,00;558,34;4597,19;41,27;1085,56;82,57;1700,46;0,00;11380,80
 12 ;3719,99;5532,91;7963,01;67,77;746,99;7794,96;213,59;1289,71;1293,16;15225,19;1076,54;44923,82
 13 ;2067,39;6332,74;3431,41;240,84;34,07;7281,60;956,92;0,00;38,30;4178,29;0,00;24561,56
 14 ;6745,11;13364,23;14485,84;1543,65;147,86;13503,43;998,92;469,92;82,49;15438,81;0,00;66780,27
 15 ;8373,98;5811,00;6534,60;0,00;771,88;5019,92;0,00;479,67;253,09;8997,19;0,00;36241,32
 16 ;13816,71;4497,72;6246,31;0,00;643,83;6676,74;520,52;147,02;1045,70;14231,91;370,74;48197,18
 17 ;7266,88;1380,82;6383,67;24,20;181,10;4204,78;470,73;708,03;295,20;10591,82;0,00;31507,23
 18 ;7603,06;3205,65;16743,27;318,85;648,40;21400,97;1714,67;178,32;544,99;19947,19;932,28;73237,66
 19 ;4151,23;328,91;12592,87;155,97;1321,68;24883,86;1076,52;2251,42;226,24;10914,12;0,00;57902,83
 20 ;4074,33;576,00;10082,13;0,00;888,37;13254,37;1250,97;1209,07;211,56;14482,88;0,00;46029,68
 21 ;5695,66;0,00;7349,31;0,00;542,94;15964,60;3615,41;1494,77;159,93;9388,76;106,30;44317,67
 22 ;10464,87;0,00;4783,83;0,00;187,47;8365,15;332,40;1031,70;200,43;11573,06;299,95;37238,87
 23 ;39167,48;0,00;7409,55;155,32;147,71;11917,29;1561,77;2131,10;234,16;10963,25;0,00;73687,64
 24 ;42920,14;0,00;11652,70;0,00;288,18;11177,38;795,05;2658,26;338,62;19666,66;36,85;89533,85
 25 ;5270,35;0,00;8116,99;13,62;97,23;5274,11;1531,95;1007,69;570,30;18537,56;409,49;40829,30
 26 ;11854,88;0,00;7038,45;0,00;1156,09;16640,12;763,78;90,01;268,68;16868,49;0,00;54680,51
 27 ;39192,96;821,40;18358,14;0,00;472,55;25364,87;5366,22;1521,16;598,96;28618,32;0,00;120314,56
 28 ;25220,67;1053,63;12492,94;0,00;731,03;15978,82;3052,08;744,65;247,12;17250,99;0,00;76771,93
 29 ;30260,68;936,61;18890,12;0,00;391,03;15100,36;4253,37;2504,39;211,73;22179,67;60,13;94788,10
 30 ;11640,99;376,57;5991,53;2663,49;402,79;16781,19;2942,53;1433,40;1457,45;19040,47;0,00;62730,42
 31 ;36169,72;394,60;24275,52;791,11;1092,39;21668,72;4043,34;1146,23;264,06;29171,15;371,49;119388,31
 32 ;41985,58;1638,36;17479,85;0,00;571,71;15521,91;1021,87;513,54;286,97;33531,83;0,00;112551,63
