ZONA;Coletivo;Individual;Motorizado;Não Motorizado;Total
1;101862,29;16479,35;118341,64;41815,84;160157,49
2;82358,27;28982,45;111340,73;26965,69;138306,41
3;29626,48;9207,79;38834,27;23668,57;62502,84
4;33763,72;15819,63;49583,35;28702,21;78285,56
5;108309,78;25823,18;134132,97;53019,78;187152,74
6;53941,53;17582,39;71523,93;37826,59;109350,52
7;42867,56;18502,06;61369,62;32310,91;93680,54
8;11854,88;6842,31;18697,19;21472,81;40170
9;20452,64;7212,53;27665,17;8856,71;36521,88
10;15848,61;3679,48;19528,09;4502,37;24030,46
11;3873,75;5724,02;9597,77;1783,03;11380,8
12;18030,67;10374,8;28405,47;16518,35;44923,82
13;12106,45;8238,52;20344,96;4216,59;24561,56
14;36286,69;14972,28;51258,97;15521,29;66780,27
15;21491,46;5499,59;26991,05;9250,28;36241,32
16;25204,57;7715,01;32919,58;15277,61;48197,18
17;15236,67;5383,54;20620,21;10887,03;31507,23
18;28519,24;24226,24;52745,47;20492,18;73237,66
19;18550,66;28211,81;46762,47;11140,36;57902,83
20;15620,83;15714,41;31335,24;14694,44;46029,68
21;13587,9;21181,07;34768,98;9548,69;44317,67
22;15436,17;10029,2;25465,37;11773,49;37238,87
23;46880,06;15610,17;62490,23;11197,41;73687,64
24;54861,03;14667,54;69528,57;20005,28;89533,85
25;13498,2;8223,24;21721,44;19107,86;40829,3
26;20049,42;17493,92;37543,34;17137,18;54680,51
27;58845,05;32252,24;91097,29;29217,27;120314,56
28;39498,27;19775,55;59273,82;17498,11;76771,93
29;50478,44;21918,25;72396,7;22391,41;94788,1
30;21075,38;21157,13;42232,5;20497,91;62730,42
31;62723,33;27229,77;89953,1;29435,21;119388,31
32;61675,49;17057,33;78732,82;33818,8;112551,63
33;2840,73;2500,64;5341,36;1585,18;6926,54
34;8228,14;17996,68;26224,82;6658,09;32882,91
35;46980,8;21541,07;68521,87;43735,58;112257,45
36;47754,86;35914,72;83669,58;28872,16;112541,74
37;16071,14;11091,71;27162,85;6387,99;33550,85
38;3265,41;4089,75;7355,17;4799,2;12154,37
39;14630,24;7265,41;21895,66;3686,04;25581,7
40;22895,83;9186,43;32082,26;10872,2;42954,45
41;31256,54;21580,46;52837;28146,99;80984
42;14630,07;7847,14;22477,21;6774,45;29251,65
43;63288,15;26056,51;89344,66;20766,88;110111,54
44;24743,51;24364,82;49108,34;12042,35;61150,69
45;36247,63;34188,3;70435,92;26933;97368,93
46;24701,34;19540,63;44241,97;26630,73;70872,71
47;10157,97;17997,92;28155,89;15198,81;43354,7
48;18461,76;18663,26;37125,02;11776,52;48901,55
49;32078,1;15567,69;47645,79;13181,09;60826,88
50;4829,06;9077,08;13906,14;2982,63;16888,77
51;9767,89;13845,63;23613,52;6273,34;29886,86
52;24570,06;10272,41;34842,46;6109,77;40952,23
53;35842,2;20719,6;56561,8;10418,72;66980,52
54;42088,65;26974,3;69062,94;22508,26;91571,21
55;21780,06;22972,52;44752,58;6433,81;51186,38
56;32528,67;25058,06;57586,73;19740,34;77327,07
57;43962,43;37663,63;81626,06;29699,85;111325,91
58;28153,33;14121,74;42275,07;13286,91;55561,99
59;70655,9;43784,99;114440,89;50554,18;164995,07
60;22465,14;36031,62;58496,76;9821,15;68317,91
61;32121,13;26131,26;58252,39;17860,07;76112,46
62;23903,21;18331,26;42234,47;6371,16;48605,62
63;21882,19;13474,98;35357,17;1708,03;37065,2
64;36879,45;42873,76;79753,21;26415,18;106168,39
65;17161,66;36764,63;53926,29;14635,82;68562,11
66;21855,88;32273,76;54129,64;6782,23;60911,87
67;12389,34;12060,95;24450,28;8182,97;32633,25
68;58295,37;55147,77;113443,14;57712,44;171155,57
69;20581,14;22588,71;43169,85;17554,71;60724,56
70;23209,31;19441,89;42651,2;12495,24;55146,43
71;20348,8;30592,85;50941,64;15440,77;66382,41
72;23674,57;23899,84;47574,41;13465,51;61039,92
73;71346,48;49488,46;120834,94;60371,49;181206,42
74;38462;18873,59;57335,59;18911,61;76247,2
75;15188,41;13981,84;29170,24;13374,55;42544,79
76;17243,04;23507,48;40750,52;9893,53;50644,04
77;47372,53;27782,31;75154,84;20142,58;95297,42
78;21717,38;21488,32;43205,69;15128,43;58334,12
79;64096,76;33923,27;98020,03;27671,97;125692
