ZONA;Ônibus;Fretado;Automóvel;Táxi;Lotação;Metrô;Trem;Moto;Bicicleta;A pé;Outros;Total
1;255101,14;2074,25;40806,44;20446,99;2760,97;47425,86;6987,53;136,50;97,89;55460,89;1172,45;432470,91
2;10849,26;463,17;6961,41;889,38;0,00;709,92;5087,72;31,28;0,00;5290,56;50,92;30333,62
3;29679,28;119,53;12407,45;1551,73;0,00;785,02;6585,51;65,82;8,21;7459,18;1,00;58662,73
4;30171,90;594,42;15278,39;1853,35;490,05;469,15;7410,73;0,00;20,90;12845,89;268,87;69403,65
5;17624,65;308,26;8911,86;2656,64;0,00;292,35;524,10;0,00;58,49;9538,99;254,42;40169,76
6;12118,09;60,47;3813,48;1415,28;2,18;3404,00;106,33;0,00;0,00;12926,85;0,00;33846,68
7;27912,73;960,09;11480,86;6419,23;38,06;10112,55;1095,89;70,55;6,66;12566,37;0,00;70662,99
8;55795,63;1860,63;28266,24;12010,24;0,00;3764,17;1323,18;650,06;143,24;23215,06;0,00;127028,45
9;138471,40;1539,69;25257,83;14921,76;1478,29;20387,00;5952,32;108,95;143,24;45147,63;64,69;253472,80
10;83108,69;2808,27;31137,32;11058,01;538,93;17945,47;13185,24;116,53;84,91;30804,36;0,00;190787,73
11;18274,09;58,31;8117,27;837,44;11,31;633,44;7521,24;0,00;8,21;4901,20;0,00;40362,51
12;27694,98;1682,85;13214,80;1337,93;231,21;697,58;5377,10;0,00;185,67;13901,80;1,00;64324,92
13;24094,47;314,27;7381,04;686,95;0,00;246,13;5684,13;0,00;0,00;10227,40;1,50;48635,89
14;38754,55;2652,58;32389,54;3666,51;0,00;1016,34;6641,93;370,76;0,00;19565,30;751,54;105809,05
15;37403,82;1714,45;39624,15;3387,89;0,00;335,82;3399,40;0,00;0,00;22636,04;311,07;108812,64
16;38475,19;751,66;26738,54;5036,82;0,00;1118,44;1076,67;265,32;58,49;13164,94;105,27;86791,34
17;18257,23;1524,26;18761,49;3560,98;0,00;3275,04;857,55;0,00;0,00;9884,20;0,00;56120,75
18;28032,87;500,02;18848,10;3807,24;474,25;10142,34;519,80;184,28;69,04;18616,29;0,00;81194,23
